twitter handles
julian_040
desevans10
logan_smothers
bfin_5
shane_wayne0411
iknowfootball02
ksaders
yrn_jahh26
DrakeDROB2020
HBailey_05 
_ajmathis18
streicher_cj
OfficialJayy18
jackson10nolan 
nicstuber8 
its_corbin12
LukeBogan
_KobeDillon
Connor_rackley
sambrandt15
DavidAn43908623
ddom1518‏
MasonRussellMi1
mcknighttrell
cade_larkins
KenSealsQB ‏
BrysonBarnes5
CaziahHolmes
Connor_Lydon9
5_deck 
LukeWoidyla 
tvandy_1504
alstonhooker112
Jadensnyda 
zachmanph
Zack_rocco
Natelussier1 
JaalenRening
Osaroaihie8
dat1yoo
LToafili_3
adrian2robinson 
cbuckner_4
elijahgreen2121
jarrettwilson34
Zxch32
kas0
DorianClark5
kjwil2303 
ElijahElliott18 ‏
br1sh28
jventresca1
d_sunafrank28
malory_pinkney 
c_sp8s5
just_tahj ‏
 garybryant_01
cutterhurlock
adamakins2020
CadeMintz
kevsss_jr 
GlantonRobert 
BAILEYTPARSONS
BryantBurns17
 ElijahCanode
OfficialRashad8 
jackmottola
tommychristakos ‏
johnhumphreys06
cfreeiv23 ‏
Bryanrobinson34
EthanJohnnson05
